,count,rouge1,rouge2,rougeL,meteor,bleu
comparative,31,0.4599144612381344,0.21000194757120805,0.3174136348922467,0.34494745380868536,0.1568845264944261
factual,30,0.6742859392066102,0.5151963804070621,0.6003812037834938,0.6494692934246358,0.4427638277516574
inferential,25,0.4372970757380237,0.19421840099581555,0.3073895823160385,0.32690708146772557,0.15694407960940482
relationship,22,0.5556924773998191,0.3757832810109104,0.4644748043766479,0.5067600870792117,0.3024032030233959
