,count,rouge1,rouge2,rougeL,meteor,bleu
factual,33,0.5299671372722554,0.32931436833202243,0.4058817097971319,0.4439775349625946,0.24680091657254669
comparative,28,0.47054553933814885,0.21934696109354407,0.32054855342502137,0.3371588314011332,0.1514459246955871
inferential,18,0.47919299369872603,0.25793240206505486,0.3452369453020603,0.3836121977936243,0.2007498205162981
relationship,34,0.5126784765469152,0.2860931032822268,0.3648952420047239,0.3933099028036357,0.19982424462029638
