,count,rouge1,rouge2,rougeL,meteor,bleu
factual,33,0.4686707463811678,0.2734555715973858,0.35938254582566637,0.3703112763342819,0.19112909980716522
comparative,28,0.40921198778039813,0.1890073421218638,0.2846187039374061,0.30759351113604677,0.1398185541729871
inferential,18,0.4680891863316572,0.2538842480726897,0.35037356133396047,0.35899112081585705,0.18738221482483977
relationship,34,0.46679502348901036,0.2345301413507046,0.333427419330736,0.36432825238819977,0.1696432163747981
