,count,rouge1,rouge2,rougeL,meteor,bleu
comparative,31,0.4190118503551935,0.18349640170344095,0.29030875075050244,0.2916754133207687,0.12390420173619478
factual,30,0.6359251660865342,0.4712022325421071,0.5397941421223584,0.5702307816926397,0.3432607174773048
inferential,25,0.4328284510994988,0.1927373270440293,0.31530079230512653,0.3048819851583366,0.13893869166776454
relationship,22,0.49252708221152497,0.30116084538173016,0.408268827121531,0.39844948725498175,0.20263870442733725
