,count,rouge1,rouge2,rougeL,meteor,bleu
factual,33,0.5328939981444176,0.3219410972370564,0.40457574557691584,0.43767428527507496,0.2448424440316949
comparative,28,0.4653720002188111,0.21443028205594283,0.3171271316237432,0.3549667249108935,0.16846602235378114
inferential,18,0.48327729303637307,0.2464606479374033,0.3439179001210561,0.3903905943722425,0.19407259219142914
relationship,34,0.5100994127750214,0.2753984144777471,0.3561462703049164,0.3994866557174608,0.1949007858142812
