,count,rouge1,rouge2,rougeL,meteor,bleu
relationship,27,0.47395964978472926,0.23316241704780555,0.33924024863436386,0.3836882870978292,0.18973346685333023
factual,25,0.5783137127577831,0.4135390862912017,0.5168401375266682,0.5378054679323502,0.32462442311802825
comparative,28,0.4523162444595537,0.22435285365230062,0.3219904723009199,0.34109211330912714,0.16864264698848763
inferential,31,0.43629035372630437,0.19173545472283404,0.29144706142550314,0.3315138203647376,0.15070685261408015
